"REF_DATE","GEO","DGUID","Violations and calls for service","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-03","Total, Selected police services","","Total assaults (levels 1, 2, 3) [141]","Actual incidents","Number","223","units","0","v1267112443","20.1.1","15191","","","","0"
"2019-03","Total, Selected police services","","Assaults by non-family (levels 1, 2, 3)","Actual incidents","Number","223","units","0","v1267112444","20.2.1","8968","","","","0"
"2019-03","Total, Selected police services","","Assaults by family (levels 1, 2, 3)","Actual incidents","Number","223","units","0","v1267112445","20.3.1","4079","","","","0"
"2019-03","Total, Selected police services","","Assaults where relationship type is unknown","Actual incidents","Number","223","units","0","v1267112446","20.4.1","2144","","","","0"
"2019-03","Total, Selected police services","","Total sexual assaults (levels 1, 2, 3) [131]","Actual incidents","Number","223","units","0","v1267112447","20.5.1","1856","","","","0"
"2019-03","Total, Selected police services","","Sexual assaults by non-family (levels 1, 2, 3)","Actual incidents","Number","223","units","0","v1267112448","20.6.1","1181","","","","0"
"2019-03","Total, Selected police services","","Sexual assaults by family (levels 1, 2, 3)","Actual incidents","Number","223","units","0","v1267112449","20.7.1","346","","","","0"
"2019-03","Total, Selected police services","","Sexual assaults where relationship type is unknown","Actual incidents","Number","223","units","0","v1267112450","20.8.1","329","","","","0"
"2019-03","Total, Selected police services","","Assault against peace or public officer (level 1) [1460]","Actual incidents","Number","223","units","0","v1267112451","20.9.1","583","","","","0"
"2019-03","Total, Selected police services","","Uttering threats [1627]","Actual incidents","Number","223","units","0","v1267112452","20.10.1","3589","","","","0"
"2019-03","Total, Selected police services","","Uttering threats by non-family","Actual incidents","Number","223","units","0","v1267112453","20.11.1","2144","","","","0"
"2019-03","Total, Selected police services","","Uttering threats by family","Actual incidents","Number","223","units","0","v1267112454","20.12.1","519","","","","0"
"2019-03","Total, Selected police services","","Uttering threats where relationship type is unknown","Actual incidents","Number","223","units","0","v1267112455","20.13.1","926","","","","0"
"2019-03","Total, Selected police services","","Total robbery [160]","Actual incidents","Number","223","units","0","v1267112456","20.14.1","1327","","","","0"
"2019-03","Total, Selected police services","","Dangerous operation, causing death or bodily harm [911]","Actual incidents","Number","223","units","0","v1267112457","20.15.1","34","","","","0"
"2019-03","Total, Selected police services","","Impaired driving, causing death or bodily harm [921]","Actual incidents","Number","223","units","0","v1267112458","20.16.1","26","","","","0"
"2019-03","Total, Selected police services","","Total breaking and entering [210]","Actual incidents","Number","223","units","0","v1267112459","20.17.1","8674","","","","0"
"2019-03","Total, Selected police services","","Breaking and entering, non-residential","Actual incidents","Number","223","units","0","v1267112460","20.18.1","4538","","","","0"
"2019-03","Total, Selected police services","","Breaking and entering, residential","Actual incidents","Number","223","units","0","v1267112461","20.19.1","4061","","","","0"
"2019-03","Total, Selected police services","","Breaking and entering where location type is unknown","Actual incidents","Number","223","units","0","v1267112476","20.34.1","75","","","","0"
"2019-03","Total, Selected police services","","Motor vehicle theft [2135]","Actual incidents","Number","223","units","0","v1267112462","20.20.1","5891","","","","0"
"2019-03","Total, Selected police services","","Shoplifting [213]","Actual incidents","Number","223","units","0","v1267112463","20.21.1","9930","","","","0"
"2019-03","Total, Selected police services","","Fraud/identity theft/identity fraud [216]","Actual incidents","Number","223","units","0","v1267112464","20.22.1","9860","","","","0"
"2019-03","Total, Selected police services","","Fail to comply with order [3410]","Actual incidents","Number","223","units","0","v1267112465","20.23.1","8251","","","","0"
"2019-03","Total, Selected police services","","Impaired driving, operating while impaired [923]","Actual incidents","Number","223","units","0","v1267112466","20.24.1","5466","","","","0"
"2019-03","Total, Selected police services","","Provincial/Territorial acts related to COVID-19","Actual incidents","Number","223","units","0","v1267112467","20.25.1","","..","","","0"
"2019-03","Total, Selected police services","","Calls for service, domestic disturbances / disputes","Actual incidents","Number","223","units","0","v1267112468","20.26.1","9067","","","","0"
"2019-03","Total, Selected police services","","Calls for service, Mental Health Act (MHA) apprehension","Actual incidents","Number","223","units","0","v1267112469","20.27.1","2828","","","","0"
"2019-03","Total, Selected police services","","Calls for service, mental health - other","Actual incidents","Number","223","units","0","v1267112470","20.28.1","3324","","","","0"
"2019-03","Total, Selected police services","","Calls for service, suicide/attempted suicide","Actual incidents","Number","223","units","0","v1267112471","20.29.1","3004","","","","0"
"2019-03","Total, Selected police services","","Calls for service, overdose","Actual incidents","Number","223","units","0","v1267112472","20.30.1","570","","","","0"
"2019-03","Total, Selected police services","","Calls for service, child welfare check","Actual incidents","Number","223","units","0","v1267112473","20.31.1","42","","","","0"
"2019-03","Total, Selected police services","","Calls for service, check welfare - general","Actual incidents","Number","223","units","0","v1267112474","20.32.1","3346","","","","0"
